County/City,Ward,Pct,"Edward Walter Gillespie","Corey Alan Stewart","Frank W. Wagner","All Others","Total Votes Cast"
"Chesapeake City",-,"41 - John T West (CD 4)",77,112,66,0,255
"Chesapeake City",-,"42 - Parkways (CD 3)",60,40,40,0,140
"Chesapeake City",-,"43 - Pleasant Crossing (CD 4)",151,97,68,0,316
"Chesapeake City",-,"44 - Nansemond (CD 3)",63,38,53,0,154
"Chesapeake City",-,"45 - Sunray II (CD 4)",24,15,16,0,55
"Chesapeake City",-,"46 - Bells Mill II (CD 4)",82,46,60,0,188
"Chesapeake City",-,"47 - Green Sea (CD 4)",65,44,46,0,155
"Chesapeake City",-,"48 - Jolliff Middle School (CD 4)",21,16,8,0,45
"Chesapeake City",-,"49 - Waterway (CD 4)",159,191,134,0,484
"Chesapeake City",-,"50 - River Walk (CD 4)",71,55,66,0,192
"Chesapeake City",-,"51 - Coopers Way (CD 4)",132,144,109,0,385
"Chesapeake City",-,"52 - Shipyard Road (CD 4)",73,45,22,0,140
"Chesapeake City",-,"53 - Fairways (CD 3)",61,30,52,0,143
"Chesapeake City",-,"54 - Pughsville (CD 3)",32,45,34,0,111
"Chesapeake City",-,"55 - Georgetown East (CD 3)",32,23,22,0,77
"Chesapeake City",-,"56 - Green Tree (CD 3)",37,39,56,0,132
"Chesapeake City",-,"57 - Cypress (CD 3)",73,44,32,0,149
"Chesapeake City",-,"58 - Expressway (CD 4)",16,23,13,0,52
"Chesapeake City",-,"59 - Clearfield (CD 4)",64,39,53,0,156
"Chesapeake City",-,"60 - Parker Road (CD 4)",118,95,96,0,309
"Chesapeake City",-,"61 - Centerville (CD 4)",103,82,66,0,251
"Chesapeake City",-,"62 - Fentress (CD 4)",111,111,78,0,300
"Chesapeake City",-,"63 - Poplar Branch (CD 4)",84,55,52,0,191
"Chesapeake City",-,"AB - Central Absentee Precinct (CD 3)",50,29,15,0,94
"Chesapeake City",-,"Ab - Central Absentee Precinct (CD 4)",121,33,56,0,210
"Chesapeake City",-,"Provisional (CD 3)",0,1,1,0,2
"Chesapeake City",-,"Provisional (CD 4)",2,2,1,0,5
"Chesterfield County",-,"101 - Bellwood (CD 4)",48,60,17,0,125
"Chesterfield County",-,"102 - South Chester (CD 4)",96,105,28,0,229
"Chesterfield County",-,"103 - Enon (CD 4)",93,161,30,0,284
"Chesterfield County",-,"104 - North Chester (CD 4)",133,166,36,0,335
"Chesterfield County",-,"105 - Drewrys Bluff (CD 7)",56,73,13,0,142
"Chesterfield County",-,"106 - Harrowgate (CD 4)",132,163,21,0,316
"Chesterfield County",-,"107 - Wells (CD 4)",131,116,15,2,264
"Chesterfield County",-,"108 - Ecoff (CD 4)",257,226,49,0,532
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)",142,137,47,0,326
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",58,65,24,0,147
"Chesterfield County",-,"111 - Iron Bridge (CD 4)",169,173,36,0,378
"Chesterfield County",-,"112 - Carver (CD 4)",105,82,22,0,209
"Chesterfield County",-,"201 - Gates (CD 4)",74,122,18,0,214
"Chesterfield County",-,"202 - Beulah (CD 7)",112,89,15,0,216
"Chesterfield County",-,"203 - Bird (CD 4)",18,30,2,0,50
"Chesterfield County",-,"204 - Jacobs (CD 7)",61,65,12,0,138
"Chesterfield County",-,"205 - Falling Creek (CD 7)",116,108,14,0,238
"Chesterfield County",-,"206 - Belmont (CD 7)",23,25,8,0,56
"Chesterfield County",-,"207 - Chippenham (CD 7)",18,18,8,0,44
"Chesterfield County",-,"208 - Meadowbrook (CD 7)",85,50,10,0,145
"Chesterfield County",-,"209 - Salem Church (CD 4)",104,140,21,0,265
"Chesterfield County",-,"210 - Five Forks (CD 7)",88,124,29,0,241
"Chesterfield County",-,"211 - Nash (CD 4)",250,192,37,0,479
"Chesterfield County",-,"212 - St. Luke's (CD 7)",84,89,27,0,200
"Chesterfield County",-,"213 - Southside (CD 7)",59,86,15,0,160
"Chesterfield County",-,"214 - Hopkins (CD 7)",1,2,2,0,5
"Chesterfield County",-,"215 - North Bird (CD 7)",20,23,6,0,49
"Chesterfield County",-,"301 - Ettrick (CD 4)",22,39,4,0,65
"Chesterfield County",-,"302 - Deer Run (CD 7)",63,48,14,0,125
"Chesterfield County",-,"303 - Matoaca (CD 4)",95,113,20,0,228
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",174,213,27,0,414
"Chesterfield County",-,"305 - Beach (CD 4)",70,108,18,0,196
"Chesterfield County",-,"306 - Winterpock (CD 7)",186,240,30,0,456
"Chesterfield County",-,"307 - Cosby (CD 7)",112,117,19,0,248
"Chesterfield County",-,"308 - South Manchester (CD 7)",30,23,6,0,59
"Chesterfield County",-,"309 - Skinquarter (CD 7)",197,206,35,0,438
"Chesterfield County",-,"310 - Tomahawk (CD 7)",197,163,45,0,405
"Chesterfield County",-,"313 - Woolridge (CD 7)",174,148,52,0,374
"Chesterfield County",-,"315 - Bailey Bridge (CD 7)",173,187,36,0,396
"Chesterfield County",-,"316 - Spring Run (CD 7)",90,106,30,0,226
"Chesterfield County",-,"317 - Birkdale (CD 7)",195,153,41,0,389
"Chesterfield County",-,"318 - West Beach (CD 7)",41,58,7,0,106
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",107,79,24,0,210
"Chesterfield County",-,"402 - Genito (CD 7)",122,168,31,0,321
"Chesterfield County",-,"403 - Brandermill (CD 7)",136,109,51,0,296
"Chesterfield County",-,"404 - Providence (CD 7)",121,102,22,0,245
"Chesterfield County",-,"405 - La Prade (CD 7)",190,126,41,0,357
"Chesterfield County",-,"406 - Smoketree (CD 7)",204,110,32,0,346
"Chesterfield County",-,"407 - Monacan (CD 7)",96,79,31,0,206
"Chesterfield County",-,"408 - Reams (CD 7)",135,109,35,0,279
"Chesterfield County",-,"409 - Manchester (CD 7)",83,76,19,0,178
"Chesterfield County",-,"410 - Wagstaff (CD 7)",93,82,10,0,185
"Chesterfield County",-,"411 - Swift Creek (CD 7)",145,134,43,0,322
"Chesterfield County",-,"413 - Shenandoah (CD 7)",100,119,48,0,267
"Chesterfield County",-,"414 - Crenshaw (CD 7)",133,155,27,0,315
"Chesterfield County",-,"415 - Evergreen (CD 7)",124,112,29,0,265
"Chesterfield County",-,"416 - Evergreen West (CD 7)",48,41,11,0,100
"Chesterfield County",-,"417 - Edgewater (CD 7)",57,39,21,0,117
"Chesterfield County",-,"501 - Huguenot (CD 7)",120,77,32,0,229
"Chesterfield County",-,"502 - Crestwood (CD 7)",66,59,41,0,166
"Chesterfield County",-,"503 - Midlothian (CD 7)",176,130,37,1,344
"Chesterfield County",-,"504 - Robious (CD 7)",301,137,75,0,513
"Chesterfield County",-,"505 - Bon Air (CD 7)",166,127,94,0,387
"Chesterfield County",-,"506 - Greenfield (CD 7)",145,88,48,0,281
"Chesterfield County",-,"507 - Salisbury (CD 7)",309,137,108,0,554
"Chesterfield County",-,"508 - Belgrade (CD 7)",155,113,36,0,304
"Chesterfield County",-,"509 - Cranbeck (CD 7)",78,60,33,0,171
"Chesterfield County",-,"510 - Sycamore (CD 7)",188,99,42,0,329
"Chesterfield County",-,"511 - Black Heath (CD 7)",147,66,45,0,258
"Chesterfield County",-,"513 - Beaufont (CD 7)",31,24,8,0,63
"Chesterfield County",-,"514 - Watkins (CD 7)",223,143,52,0,418
"Chesterfield County",-,"515 - Davis (CD 7)",39,32,5,0,76
"Chesterfield County",-,"516 - Pocoshock (CD 7)",18,33,6,0,57
"Chesterfield County",-,"517 - Roseland (CD 7)",63,45,8,0,116
"Chesterfield County",-,"518 - Midlothian North (CD 7)",215,101,44,0,360
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)",84,44,6,0,134
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)",181,53,24,0,258
"Chesterfield County",-,"Provisional (CD 4)",0,0,0,0,0
"Chesterfield County",-,"Provisional (CD 7)",1,0,0,0,1
"Clarke County",-,"101 - Russell",112,101,14,0,227
"Clarke County",-,"201 - Berryville",71,73,20,0,164
"Clarke County",-,"301 - Millwood",61,63,19,0,143
"Clarke County",-,"302 - Pine Grove",26,46,5,0,77
"Clarke County",-,"401 - White Post",79,119,8,0,206
"Clarke County",-,"501 - Buckmarsh",42,80,10,0,132
"Clarke County",-,"502 - Blue Ridge",20,27,1,0,48
"Clarke County",-,"Ab - Central Absentee Precinct",18,10,3,0,31
"Clarke County",-,Provisional,0,0,0,0,0
"Colonial Heights City",-,"1 - First",59,72,5,0,136
"Colonial Heights City",-,"2 - Second",72,72,10,0,154
"Colonial Heights City",-,"3 - Third",139,106,15,0,260
"Colonial Heights City",-,"4 - Fourth",165,112,18,0,295
"Colonial Heights City",-,"5 - Fifth",249,100,25,0,374
"Colonial Heights City",-,"Ab - Central Absentee Precinct",49,15,1,0,65
"Colonial Heights City",-,Provisional,0,0,0,0,0
"Covington City",-,"101 - Precinct 1-1",6,10,1,0,17
"Covington City",-,"201 - Precinct 2-1",9,11,2,0,22
"Covington City",-,"301 - Precinct 3-1",2,6,2,0,10
"Covington City",-,"401 - Precinct 4-1",19,33,5,0,57
"Covington City",-,"501 - Precinct 5-1",19,20,3,0,42
"Covington City",-,"Ab - Central Absentee Precinct",3,1,1,0,5
"Covington City",-,Provisional,0,0,0,0,0
"Craig County",-,"101 - Court House",40,24,4,0,68
"Craig County",-,"201 - Ammendale Precinct",32,54,5,0,91
"Craig County",-,"301 - Givens & Reynolds Store",14,20,1,0,35
"Craig County",-,"303 - Marshalls Store",7,15,3,0,25
"Craig County",-,"401 - Barbours Creek",10,10,0,0,20
"Craig County",-,"402 - Paint Bank",3,4,0,0,7
"Craig County",-,"403 - Craig Springs",8,16,6,0,30
"Craig County",-,"501 - Craig City",25,31,5,0,61
"Craig County",-,Provisional,0,0,0,0,0
"Culpeper County",-,"101 - West Fairfax",104,151,25,0,280
"Culpeper County",-,"201 - East Fairfax",65,91,6,0,162
"Culpeper County",-,"302 - Eggbornsville",59,127,7,0,193
"Culpeper County",-,"303 - Cardova",33,126,10,0,169
"Culpeper County",-,"304 - Willow Shade",25,34,1,0,60
"Culpeper County",-,"401 - Eldorado",56,141,5,0,202
"Culpeper County",-,"402 - Browns Store",113,294,15,0,422
"Culpeper County",-,"501 - Jeffersonton",100,169,25,0,294
"Culpeper County",-,"502 - Rixeyville",66,199,27,0,292
"Culpeper County",-,"601 - Mitchells",20,23,8,0,51
"Culpeper County",-,"602 - Pearl Sample",99,186,15,0,300
"Culpeper County",-,"603 - South Ridge",24,38,13,0,75
"Culpeper County",-,"702 - Brandy Station",98,196,10,0,304
"Culpeper County",-,"703 - Lignum",26,94,11,0,131
"Culpeper County",-,"704 - Richardsville",33,62,5,0,100
"Culpeper County",-,"Ab - Central Absentee Precinct",43,41,7,0,91
"Culpeper County",-,Provisional,1,0,0,0,1
"Cumberland County",-,"101 - Precinct 1",92,53,9,0,154
"Cumberland County",-,"201 - Precinct 2",91,61,15,0,167
"Cumberland County",-,"301 - Precinct 3",36,22,5,0,63
"Cumberland County",-,"401 - Precinct 4",59,54,4,0,117
"Cumberland County",-,"501 - Precinct 5",73,32,5,0,110
"Cumberland County",-,"Ab - Central Absentee Precinct",7,7,7,0,21
"Cumberland County",-,Provisional,0,0,0,0,0
"Danville City",-,"1 - Ward One",6,2,1,0,9
"Danville City",-,"2 - Ward Two",20,16,2,0,38
"Danville City",-,"3 - Ward Three",38,28,10,0,76
"Danville City",-,"4 - Ward Four",92,84,13,0,189
"Danville City",-,"6 - Ward Six",7,5,1,0,13
"Danville City",-,"7 - Ward Seven",6,15,0,0,21
"Danville City",-,"8 - Ward Eight",12,36,6,0,54
"Danville City",-,"9 - Ward Nine",18,47,4,0,69
"Danville City",-,"10 - Ward Ten",35,58,13,0,106
"Danville City",-,"11 - Ward Eleven",44,39,7,0,90
"Danville City",-,"12 - Ward Twelve",49,67,15,0,131
"Danville City",-,"13 - Ward Thirteen",47,31,4,0,82
"Danville City",-,"14 - Ward Fourteen",0,0,0,0,0
"Danville City",-,"15 - Ward Fifteen",44,58,7,0,109
"Danville City",-,"16 - Ward Sixteen",57,102,8,0,167
"Danville City",-,"17 - Ward Seventeen",86,78,16,0,180
"Danville City",-,"Ab - Central Absentee Precinct",38,12,2,0,52
"Danville City",-,Provisional,0,0,0,0,0
"Dickenson County",-,"101 - South Clintwood",18,36,4,0,58
"Dickenson County",-,"201 - Nora",2,12,1,0,15
"Dickenson County",-,"202 - Frying Pan",3,12,0,0,15
"Dickenson County",-,"203 - Clinchco",6,16,1,0,23
"Dickenson County",-,"301 - West Dante",2,17,0,0,19
"Dickenson County",-,"302 - Herald",9,19,1,0,29
"Dickenson County",-,"303 - Ridge",10,10,1,0,21
"Dickenson County",-,"401 - Haysi-colley",9,19,3,0,31
"Dickenson County",-,"501 - Tarpon",10,6,0,0,16
"Dickenson County",-,"502 - North Clintwood",21,22,0,0,43
"Dickenson County",-,"Ab - Central Absentee Precinct",9,15,4,0,28
"Dickenson County",-,Provisional,0,0,0,0,0
"Dinwiddie County",-,"101 - White Oak",25,39,2,0,66
"Dinwiddie County",-,"102 - Rocky Run",33,62,7,0,102
"Dinwiddie County",-,"103 - Church Road",35,92,16,0,143
"Dinwiddie County",-,"201 - Rohoic",21,26,4,0,51
"Dinwiddie County",-,"202 - Sutherland",58,101,16,0,175
"Dinwiddie County",-,"301 - Reams",34,24,3,0,61
"Dinwiddie County",-,"302 - New Hope",41,51,9,0,101
"Dinwiddie County",-,"303 - Little Zion",25,45,4,0,74
"Dinwiddie County",-,"401 - Dinwiddie",48,76,12,0,136
"Dinwiddie County",-,"402 - Mckenney",29,36,3,0,68
"Dinwiddie County",-,"403 - Cherry Hill",14,25,1,0,40
"Dinwiddie County",-,"501 - Edgehill",6,3,0,0,9
"Dinwiddie County",-,"502 - Chesdin",20,50,5,0,75
"Dinwiddie County",-,"Ab - Central Absentee Precinct",20,5,2,0,27
"Dinwiddie County",-,Provisional,0,0,0,0,0
"Emporia City",-,"101 - Precinct 1-1",8,10,0,0,18
"Emporia City",-,"201 - Precinct 2-1",0,0,1,0,1
"Emporia City",-,"301 - Precinct 3-1",20,15,2,0,37
"Emporia City",-,"401 - Precinct 4-1",20,9,6,0,35
"Emporia City",-,"501 - Precinct 5-1",0,0,0,0,0
"Emporia City",-,"601 - District 6",28,14,5,0,47
"Emporia City",-,"701 - District 7",7,6,3,0,16
"Emporia City",-,Provisional,0,0,0,0,0
"Essex County",-,"101 - Greater Tappahannock",70,43,6,0,119
"Essex County",-,"201 - North",35,38,7,0,80
"Essex County",-,"301 - South",87,71,13,0,171
"Essex County",-,"401 - Central",60,45,12,0,117
"Essex County",-,"Ab - Central Absentee Precinct",10,3,1,0,14
"Essex County",-,Provisional,0,0,0,0,0
"Fairfax County",-,"104 - Chapel (CD 11)",86,97,29,0,212
"Fairfax County",-,"105 - Fairview (CD 11)",129,112,57,0,298
"Fairfax County",-,"106 - Heritage (CD 11)",35,55,11,0,101
"Fairfax County",-,"108 - Kings Park (CD 11)",49,127,25,0,201
"Fairfax County",-,"109 - Little Run (CD 11)",41,41,21,0,103
"Fairfax County",-,"110 - North Springfield (CD 11)",104,110,32,0,246
"Fairfax County",-,"113 - Canterbury (CD 11)",141,75,57,0,273
"Fairfax County",-,"114 - Olde Creek (CD 11)",56,71,22,0,149
"Fairfax County",-,"115 - Ravensworth (CD 11)",60,63,14,0,137
"Fairfax County",-,"116 - Wakefield (CD 11)",74,64,15,0,153
"Fairfax County",-,"117 - Woodson (CD 11)",76,52,21,0,149
"Fairfax County",-,"118 - Lake Braddock (CD 11)",60,73,28,0,161
"Fairfax County",-,"119 - Laurel (CD 11)",125,104,48,0,277
"Fairfax County",-,"120 - Sideburn (CD 11)",131,102,47,0,280
"Fairfax County",-,"121 - Villa (CD 11)",43,53,28,0,124
"Fairfax County",-,"123 - Robinson (CD 11)",104,98,40,0,242
"Fairfax County",-,"125 - Signal Hill (CD 11)",104,64,24,0,192
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",69,52,23,0,144
"Fairfax County",-,"127 - Burke Centre (CD 11)",98,103,28,0,229
"Fairfax County",-,"128 - Cardinal (CD 11)",54,58,24,0,136
"Fairfax County",-,"129 - Keene Mill (CD 11)",59,42,12,0,113
"Fairfax County",-,"130 - Terra Centre (CD 11)",77,68,21,0,166
"Fairfax County",-,"131 - Eagle View (CD 11)",58,78,21,0,157
"Fairfax County",-,"132 - Monument (CD 11)",42,38,6,0,86
"Fairfax County",-,"133 - Danbury (CD 11)",10,15,4,0,29
"Fairfax County",-,"134 - University (CD 11)",10,7,3,0,20
"Fairfax County",-,"201 - Armstrong (CD 11)",76,56,25,0,157
"Fairfax County",-,"202 - Flint Hill (CD 11)",107,108,18,0,233
"Fairfax County",-,"203 - Floris (CD 11)",71,95,26,0,192
"Fairfax County",-,"204 - Madison (CD 11)",27,8,2,0,37
"Fairfax County",-,"208 - Reston #1 (CD 11)",37,43,21,0,101
"Fairfax County",-,"209 - Reston #2 (CD 11)",40,36,16,0,92
"Fairfax County",-,"213 - Vienna #1 (CD 11)",79,87,26,0,192
"Fairfax County",-,"214 - Vienna #2 (CD 11)",67,59,13,0,139
"Fairfax County",-,"216 - Vienna #4 (CD 11)",34,35,7,0,76
"Fairfax County",-,"218 - Vienna #6 (CD 11)",47,37,15,0,99
"Fairfax County",-,"219 - Westbriar (CD 11)",104,62,25,0,191
"Fairfax County",-,"220 - Dogwood (CD 11)",60,63,16,0,139
"Fairfax County",-,"221 - Hunters Woods (CD 11)",91,63,18,0,172
"Fairfax County",-,"222 - Reston #3 (CD 11)",33,19,10,0,62
"Fairfax County",-,"223 - Glade (CD 11)",66,60,30,0,156
"Fairfax County",-,"224 - South Lakes (CD 11)",64,68,23,0,155
"Fairfax County",-,"225 - Hughes (CD 11)",51,27,17,0,95
"Fairfax County",-,"226 - Wolftrap (CD 11)",107,99,26,0,232
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",47,51,25,0,123
"Fairfax County",-,"229 - Fox Mill (CD 10)",151,144,46,0,341
"Fairfax County",-,"233 - North Point (CD 11)",86,46,20,0,152
"Fairfax County",-,"234 - Aldrin (CD 11)",54,68,19,0,141
"Fairfax County",-,"235 - Frying Pan (CD 11)",36,41,16,0,93
"Fairfax County",-,"236 - Stuart (CD 11)",22,27,10,0,59
"Fairfax County",-,"237 - Mcnair (CD 11)",18,21,11,0,50
"Fairfax County",-,"238 - Cameron Glen (CD 11)",63,48,18,0,129
"Fairfax County",-,"240 - Colvin (CD 10)",100,50,17,0,167
"Fairfax County",-,"301 - Chain Bridge (CD 10)",126,56,18,0,200
"Fairfax County",-,"302 - Chesterbrook (CD 8)",153,58,23,0,234
"Fairfax County",-,"303 - Churchill (CD 10)",52,29,7,0,88
"Fairfax County",-,"304 - Cooper (CD 10)",111,31,11,0,153
"Fairfax County",-,"305 - El Nido (CD 8)",83,29,11,0,123
"Fairfax County",-,"306 - Great Falls (CD 10)",102,54,23,0,179
"Fairfax County",-,"307 - Haycock (CD 8)",85,50,16,0,151
"Fairfax County",-,"309 - Kenmore (CD 10)",135,64,25,0,224
"Fairfax County",-,"310 - Kirby (CD 8)",69,41,10,0,120
"Fairfax County",-,"311 - Langley (CD 10)",142,45,10,0,197
"Fairfax County",-,"312 - Longfellow (CD 8)",69,35,15,0,119
"Fairfax County",-,"314 - Mclean (CD 10)",86,53,8,0,147
"Fairfax County",-,"315 - Pimmit (CD 8)",44,68,22,0,134
"Fairfax County",-,"316 - Salona #1 (CD 8)",40,20,10,0,70
"Fairfax County",-,"317 - Westhampton (CD 8)",63,72,25,0,160
"Fairfax County",-,"318 - Westmoreland (CD 8)",43,42,7,0,92
"Fairfax County",-,"319 - Herndon #1 (CD 11)",66,109,25,0,200
"Fairfax County",-,"320 - Herndon #2 (CD 11)",62,79,22,0,163
"Fairfax County",-,"321 - Clearview (CD 10)",108,115,49,0,272
"Fairfax County",-,"322 - Forestville (CD 10)",138,75,21,0,234
"Fairfax County",-,"323 - Shouse (CD 10)",90,53,28,0,171
"Fairfax County",-,"324 - Herndon #3 (CD 11)",45,71,23,0,139
"Fairfax County",-,"325 - Hutchison (CD 11)",13,30,2,0,45
"Fairfax County",-,"327 - Sugarland (CD 10)",93,77,30,0,200
"Fairfax County",-,"328 - Hickory (CD 10)",111,78,17,0,206
"Fairfax County",-,"329 - Seneca (CD 10)",118,89,22,0,229
"Fairfax County",-,"331 - Spring Hill (CD 10)",174,38,22,0,234
"Fairfax County",-,"332 - Coates (CD 11)",20,27,9,0,56
"Fairfax County",-,"333 - Salona #2 (CD 8)",75,50,19,0,144
"Fairfax County",-,"401 - Bush Hill (CD 8)",104,82,30,0,216
"Fairfax County",-,"402 - Cameron (CD 8)",16,19,6,0,41
"Fairfax County",-,"403 - Forestdale (CD 8)",14,30,6,0,50
"Fairfax County",-,"404 - Franconia (CD 8)",52,46,14,0,112
"Fairfax County",-,"405 - Groveton (CD 8)",17,23,8,0,48
"Fairfax County",-,"406 - Hayfield (CD 8)",93,80,25,0,198
"Fairfax County",-,"408 - Mount Eagle (CD 8)",44,33,13,0,90
"Fairfax County",-,"409 - Pioneer (CD 8)",42,70,10,0,122
"Fairfax County",-,"410 - Rose Hill (CD 8)",85,85,38,0,208
"Fairfax County",-,"411 - Virginia Hills (CD 8)",65,39,14,0,118
"Fairfax County",-,"413 - Fairfield (CD 8)",8,18,1,0,27
"Fairfax County",-,"415 - Crestwood (CD 8)",38,71,15,0,124
"Fairfax County",-,"417 - Garfield (CD 8)",44,57,14,0,115
"Fairfax County",-,"418 - Lynbrook (CD 8)",32,28,13,0,73
"Fairfax County",-,"419 - Lane (CD 8)",36,51,9,0,96
"Fairfax County",-,"420 - Villages (CD 8)",75,75,24,0,174
"Fairfax County",-,"421 - Kingstowne (CD 8)",60,38,13,0,111
"Fairfax County",-,"422 - Van Dorn (CD 8)",56,48,19,0,123
"Fairfax County",-,"423 - Clermont (CD 8)",67,62,14,0,143
"Fairfax County",-,"424 - Huntley (CD 8)",79,65,24,0,168
"Fairfax County",-,"426 - Greenspring (CD 11)",166,58,58,0,282
"Fairfax County",-,"427 - Island Creek (CD 8)",50,37,20,0,107
"Fairfax County",-,"428 - Pinewood (CD 8)",27,33,6,0,66
"Fairfax County",-,"429 - Hybla Valley (CD 8)",12,25,6,0,43
"Fairfax County",-,"501 - Baileys (CD 8)",45,35,15,0,95
"Fairfax County",-,"502 - Barcroft (CD 11)",31,35,16,0,82
"Fairfax County",-,"503 - Belvedere (CD 11)",35,41,6,0,82
"Fairfax County",-,"504 - Bristow (CD 11)",34,40,8,0,82
"Fairfax County",-,"505 - Glen Forest (CD 8)",28,33,11,0,72
"Fairfax County",-,"506 - Holmes #1 (CD 8)",2,5,0,0,7
"Fairfax County",-,"507 - Lincolnia (CD 8)",69,46,13,0,128
"Fairfax County",-,"508 - Masonville (CD 11)",52,60,9,0,121
"Fairfax County",-,"509 - Plaza (CD 8)",22,13,8,0,43
"Fairfax County",-,"510 - Parklawn (CD 8)",53,35,7,0,95
"Fairfax County",-,"511 - Ravenwood (CD 11)",66,40,28,0,134
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",41,23,13,0,77
"Fairfax County",-,"513 - Saint Albans (CD 11)",40,40,19,0,99
"Fairfax County",-,"513 - Saint Albans (CD 8)",25,23,8,0,56
"Fairfax County",-,"514 - Crossroads (CD 8)",25,6,3,0,34
"Fairfax County",-,"515 - Westlawn (CD 8)",31,19,8,0,58
"Fairfax County",-,"516 - Weyanoke (CD 8)",49,47,5,0,101
"Fairfax County",-,"517 - Willston (CD 8)",20,15,6,0,41
"Fairfax County",-,"518 - Columbia (CD 11)",58,44,9,0,111
"Fairfax County",-,"519 - Hummer (CD 11)",41,44,14,0,99
"Fairfax County",-,"520 - Skyline (CD 8)",38,14,5,0,57
"Fairfax County",-,"521 - Brook Hill (CD 8)",35,47,19,0,101
"Fairfax County",-,"522 - Camelot (CD 11)",62,50,19,0,131
"Fairfax County",-,"523 - Poe (CD 8)",42,36,17,0,95
"Fairfax County",-,"525 - Walnut Hill (CD 8)",71,47,16,0,134
"Fairfax County",-,"526 - Bren Mar (CD 8)",49,38,16,0,103
"Fairfax County",-,"527 - Edsall (CD 8)",40,40,14,0,94
"Fairfax County",-,"528 - Ridgelea (CD 11)",49,31,12,0,92
"Fairfax County",-,"530 - Holmes #2 (CD 11)",25,14,8,0,47
"Fairfax County",-,"601 - Belle Haven (CD 8)",101,47,17,0,165
"Fairfax County",-,"602 - Belleview (CD 8)",77,38,15,0,130
"Fairfax County",-,"604 - Bucknell (CD 8)",61,48,22,0,131
"Fairfax County",-,"605 - Fort Hunt (CD 8)",134,64,29,0,227
"Fairfax County",-,"606 - Hollin Hall (CD 8)",147,70,23,0,240
"Fairfax County",-,"607 - Huntington (CD 8)",112,47,16,0,175
"Fairfax County",-,"608 - Kirkside (CD 8)",71,29,7,0,107
"Fairfax County",-,"609 - Marlan (CD 8)",127,57,17,0,201
"Fairfax County",-,"610 - Sherwood (CD 8)",70,32,11,0,113
"Fairfax County",-,"611 - Stratford (CD 8)",170,65,39,0,274
"Fairfax County",-,"612 - Waynewood (CD 8)",76,45,15,0,136
"Fairfax County",-,"613 - Westgate (CD 8)",245,112,87,0,444
"Fairfax County",-,"614 - Riverside (CD 8)",134,62,45,0,241
"Fairfax County",-,"615 - Woodley (CD 8)",77,87,21,0,185
"Fairfax County",-,"616 - Gunston (CD 8)",82,106,20,0,208
"Fairfax County",-,"617 - Lorton (CD 8)",20,26,4,0,50
"Fairfax County",-,"618 - Newington (CD 11)",86,109,39,0,234
"Fairfax County",-,"619 - Belvoir (CD 8)",50,48,15,0,113
"Fairfax County",-,"621 - Grosvenor (CD 8)",26,31,14,0,71
"Fairfax County",-,"622 - Lorton Station (CD 8)",34,34,10,0,78
"Fairfax County",-,"623 - Alban (CD 8)",43,61,18,0,122
"Fairfax County",-,"625 - Lorton Center (CD 8)",52,31,13,0,96
"Fairfax County",-,"626 - Saratoga (CD 8)",76,87,24,0,187
"Fairfax County",-,"627 - Woodlawn (CD 8)",36,51,15,0,102
"Fairfax County",-,"628 - Laurel Hill (CD 11)",35,27,12,0,74
"Fairfax County",-,"629 - South County (CD 11)",74,100,31,0,205
"Fairfax County",-,"701 - Blake (CD 11)",77,77,23,0,177
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",26,17,9,0,52
"Fairfax County",-,"704 - Freedom Hill (CD 11)",72,38,13,0,123
"Fairfax County",-,"705 - Graham - Greenway (CD 8)",56,49,21,0,126
"Fairfax County",-,"707 - Mantua (CD 11)",70,75,23,0,168
"Fairfax County",-,"708 - Marshall (CD 8)",72,64,23,0,159
"Fairfax County",-,"709 - Mosby (CD 11)",50,39,18,0,107
"Fairfax County",-,"710 - Pine Spring (CD 8)",29,40,9,0,78
"Fairfax County",-,"711 - Price (CD 11)",65,36,18,0,119
"Fairfax County",-,"712 - Shreve (CD 8)",55,30,15,0,100
"Fairfax County",-,"713 - Timber Lane (CD 8)",46,33,13,0,92
"Fairfax County",-,"714 - Walker (CD 11)",60,78,20,0,158
"Fairfax County",-,"717 - Woodburn (CD 11)",47,45,16,0,108
"Fairfax County",-,"718 - Pine Ridge (CD 11)",43,39,12,0,94
"Fairfax County",-,"720 - Thoreau (CD 11)",84,58,28,0,170
"Fairfax County",-,"721 - Merrifield (CD 11)",59,26,24,0,109
"Fairfax County",-,"726 - Magarity (CD 8)",47,67,18,0,132
"Fairfax County",-,"727 - Oakton (CD 11)",84,72,25,0,181
"Fairfax County",-,"729 - Nottoway (CD 11)",82,48,22,0,152
"Fairfax County",-,"730 - Penderbrook (CD 11)",75,68,15,0,158
"Fairfax County",-,"731 - Tysons (CD 11)",31,21,11,0,63
